City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
642,Beaufort,MY,78.96,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
643,Diofior,SN,81.52,overcast clouds,14.1833,-16.6667,Souimanga Lodge
646,Carutapera,BR,78.89,heavy intensity rain,-1.195,-46.02,Lidera
652,Villa Bruzual,VE,83.82,overcast clouds,9.3328,-69.1208,Edificio Guarente
654,Nago,JP,82.83,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
655,Terrace,CA,80.51,clear sky,54.5163,-128.6035,Northern Motor Inn
660,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
666,Yanam,IN,81.72,overcast clouds,16.7333,82.2167,The Regency Hotel
673,Guozhen,CN,81.37,clear sky,34.3659,107.359,Yucai Hotel
674,Padang,ID,76.19,overcast clouds,-0.9492,100.3543,Mercure Padang
676,Abonnema,NG,77.38,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
689,Ganzhou,CN,78.12,broken clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
693,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
704,Ahtopol,BG,77.47,light rain,42.1,27.95,Agata Beach Hotel
706,Dakoro,NE,89.55,overcast clouds,14.5106,6.765,Shagon mai liverpool
709,Port Blair,IN,82.09,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
710,Dingzhou,CN,78.91,clear sky,38.5131,114.9956,宜家时尚宾馆
711,Pishin,PK,79.07,clear sky,30.5803,66.9961,City Hotel Pishin
717,Digha,IN,81.46,overcast clouds,21.6833,87.55,Khoniker Atithi
722,Bakel,SN,88.88,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
724,Sabana Grande De Boya,DO,86.5,scattered clouds,18.945,-69.7933,Balcones De Boya
726,Tinaquillo,VE,79.29,broken clouds,9.9186,-68.3047,Hotel Los Copihues
