City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
229,Matagami,CA,49.7502,-77.6328,64.51,59,40,11.5,scattered clouds
230,Buraydah,SA,26.326,43.975,95.45,9,3,8.5,clear sky
231,Thabazimbi,ZA,-24.5917,27.4116,55.42,31,0,4.21,clear sky
232,Pascagoula,US,30.3658,-88.5561,96.42,76,20,5.75,few clouds
233,Songjianghe,CN,42.1859,127.479,67.19,96,82,3.4,broken clouds
234,Vysokoye,BY,52.3709,23.3708,66.15,89,100,7.74,overcast clouds
235,Karratha,AU,-20.7377,116.8463,61.48,50,0,9.19,clear sky
236,Copiapo,CL,-27.3667,-70.3333,55.09,28,0,6.73,clear sky
237,Snezhnogorsk,RU,69.1933,33.2531,53.38,79,97,11.92,overcast clouds
238,Luderitz,NA,-26.6481,15.1594,70.38,26,0,6.62,clear sky
239,Pidhaytsi,UA,49.2685,25.1334,69.03,96,68,9.33,broken clouds
240,Flin Flon,CA,54.7682,-101.865,75.04,33,20,0.0,few clouds
241,Kishtwar,IN,33.3167,75.7667,68.09,94,80,1.74,broken clouds
242,Ronne,DK,55.1009,14.7066,64.31,77,75,28.77,broken clouds
243,Olafsvik,IS,64.8945,-23.7142,55.08,91,87,7.54,overcast clouds
244,Naze,JP,28.3667,129.4833,78.76,84,98,8.55,overcast clouds
245,Talnakh,RU,69.4865,88.3972,51.42,84,8,9.6,clear sky
246,Belle Glade,US,26.6845,-80.6676,96.06,48,35,1.54,scattered clouds
247,Port-Cartier,CA,50.0334,-66.8654,69.93,56,100,9.35,overcast clouds
248,Labuhan,ID,-6.8844,112.2051,75.51,85,86,6.93,overcast clouds
249,Hobyo,SO,5.3505,48.5268,76.69,78,85,25.66,overcast clouds
250,Husavik,IS,66.0449,-17.3389,60.71,62,64,3.8,broken clouds
251,Denpasar,ID,-8.65,115.2167,78.46,89,20,9.22,few clouds
252,Plettenberg Bay,ZA,-34.0527,23.3716,61.47,42,14,3.83,few clouds
253,Roald,NO,62.5833,6.1333,57.16,82,75,17.27,broken clouds
254,Mont-Dore,NC,-22.2833,166.5833,69.01,99,41,11.23,scattered clouds
255,Provideniya,RU,64.3833,-173.3,45.5,85,100,3.85,overcast clouds
256,Wanning,CN,18.8003,110.3967,82.09,80,100,10.54,moderate rain
257,Bilibino,RU,68.0546,166.4372,42.37,70,100,1.79,overcast clouds
258,Caiaponia,BR,-16.9567,-51.8103,86.45,17,27,2.24,scattered clouds
259,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,14.97,broken clouds
260,San Carlos,VE,9.6612,-68.5827,81.34,81,75,4.5,broken clouds
261,Varangaon,IN,21.0167,75.9,78.37,76,100,15.79,overcast clouds
262,Salinopolis,BR,-0.6136,-47.3561,79.38,86,37,10.04,light rain
263,Sobolevo,RU,54.4299,31.8996,64.29,68,99,4.03,overcast clouds
264,West Wendover,US,40.7391,-114.0733,85.21,35,1,4.61,clear sky
265,Altoona,US,40.5187,-78.3947,80.49,44,0,1.01,clear sky
266,Yining,CN,29.0361,114.5636,75.51,90,1,0.69,clear sky
267,Hasaki,JP,35.7333,140.8333,73.8,91,53,6.85,moderate rain
268,San Jeronimo,PE,-11.9472,-75.2829,58.73,54,74,8.63,broken clouds
269,Gornopravdinsk,RU,60.05,69.9,52.14,93,32,5.35,scattered clouds
270,Chinhoyi,ZW,-17.3667,30.2,59.5,58,83,6.8,broken clouds
271,Borazjan,IR,29.2666,51.2159,88.93,24,0,0.89,clear sky
272,Gat,IL,31.61,34.7642,82.4,57,0,4.12,clear sky
273,Shenxian,CN,36.2411,115.6672,77.5,92,6,4.32,clear sky
274,Jardim,BR,-21.4803,-56.1381,79.18,16,100,5.37,overcast clouds
